"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"700","SIMON.MOSER","2013-2014","Regular","C","NSH",6,60.78,1,1,0,1,2,2,0.99,0.99,0,0.99,1.97,1.97,11,10.86,9.09,9,8.88,11.11,7,6.91,14.29,0.53,0.52,5.91,3,2.96,5,8,0,1,1,0,0,NA,1,0,-1,0,1,33.05
"701","SLAVA.VOYNOV","2013-2014","Regular","D","L.A",82,1824.61,4,20,10,30,34,24,0.13,0.66,0.33,0.99,1.12,0.79,343,11.28,1.17,228,7.5,1.75,143,4.7,2.8,8.08,0.27,3.54,11,0.36,165,135,75,16,69,1,0,100,21,11,-10,2,14,47.75
"702","STEPHANE.DA COSTA","2013-2014","Regular","C","OTT",12,124.67,3,1,0,1,4,4,1.44,0.48,0,0.48,1.93,1.93,46,22.14,6.52,29,13.96,10.34,20,9.63,15,1.64,0.79,5.66,4,1.93,14,13,1,7,3,32,47,40.51,1,0,-1,1,3,29.22
"703","STEPHANE.ROBIDAS","2013-2014","Regular","D","ANA/DAL",38,764.46,5,2,3,5,10,7,0.39,0.16,0.24,0.39,0.78,0.55,122,9.58,4.1,85,6.67,5.88,56,4.4,8.93,2.48,0.19,2.92,3,0.24,96,112,11,4,49,0,0,NA,10,5,-5,1,7,51.9
"704","STEPHANE.VEILLEUX","2013-2014","Regular","L","MIN",34,286.62,3,0,0,0,3,3,0.63,0,0,0,0.63,0.63,43,9,6.98,32,6.7,9.38,26,5.44,11.54,1.53,0.32,4.79,5,1.05,41,26,2,9,20,1,1,50,9,5,-4,2,2,36.58
"705","STEPHEN.GIONTA","2013-2014","Regular","R","N.J",66,821.9,4,4,3,7,11,8,0.29,0.29,0.22,0.51,0.8,0.58,137,10,2.92,114,8.32,3.51,89,6.5,4.49,8.21,0.6,7.2,30,2.19,113,78,10,26,25,238,343,40.96,9,14,5,3,7,25.31
"706","STEPHEN.WEISS","2013-2014","Regular","C","DET",26,384.19,2,1,1,2,4,3,0.31,0.16,0.16,0.31,0.62,0.47,37,5.78,5.41,32,5,6.25,28,4.37,7.14,2.91,0.45,9.09,9,1.41,4,26,10,13,10,184,173,51.54,6,3,-3,5,0,25.93
"707","STEVE.BERNIER","2013-2014","Regular","R","N.J",78,970.61,3,4,5,9,12,7,0.19,0.25,0.31,0.56,0.74,0.43,161,9.95,1.86,139,8.59,2.16,104,6.43,2.88,10.96,0.68,7.88,47,2.91,118,84,13,22,23,6,12,33.33,8,10,2,7,7,26.65
"708","STEVE.DOWNIE","2013-2014","Regular","R","COL/PHI",62,873.75,4,12,8,20,24,16,0.27,0.82,0.55,1.37,1.65,1.1,159,10.92,2.52,121,8.31,3.31,88,6.04,4.55,7.95,0.55,6.57,29,1.99,70,80,21,24,18,4,3,57.14,34,16,-18,6,6,34.94
"709","STEVEN.PINIZZOTTO","2013-2014","Regular","R","EDM",6,57.49,0,1,1,2,2,1,0,1.04,1.04,2.09,2.09,1.04,5,5.22,0,4,4.17,0,2,2.09,0,0.2,0.21,5.12,1,1.04,10,10,1,1,1,0,0,NA,1,0,-1,0,0,49.31
